   Frequency       O5aStrain        O5bStrain       O5cStrain
   4.5477300e+00   7.2186054e-19   3.6093029e-19   1.4437227e-19
   4.5519300e+00   7.2374982e-19   3.6187493e-19   1.4475012e-19
   4.5561400e+00   7.2564096e-19   3.6282050e-19   1.4512835e-19
   4.5603400e+00   7.2753446e-19   3.6376725e-19   1.4550705e-19
   4.5645600e+00   7.2942981e-19   3.6471493e-19   1.4588612e-19
   4.5687700e+00   7.3132636e-19   3.6566320e-19   1.4626543e-19
   4.5729900e+00   7.3322407e-19   3.6661205e-19   1.4664497e-19
   4.5772200e+00   7.3512451e-19   3.6756227e-19   1.4702506e-19
   4.5814400e+00   7.3702613e-19   3.6851308e-19   1.4740538e-19
   4.5856800e+00   7.3892962e-19   3.6946483e-19   1.4778608e-19
   4.5899100e+00   7.4083623e-19   3.7041813e-19   1.4816740e-19
   4.5941500e+00   7.4274392e-19   3.7137198e-19   1.4854894e-19
   4.5984000e+00   7.4465249e-19   3.7232627e-19   1.4893065e-19
   4.6026400e+00   7.4656209e-19   3.7328106e-19   1.4931257e-19
   4.6068900e+00   7.4847472e-19   3.7423738e-19   1.4969509e-19
   4.6111500e+00   7.5038837e-19   3.7519420e-19   1.5007782e-19
   4.6154100e+00   7.5230519e-19   3.7615261e-19   1.5046118e-19
   4.6196700e+00   7.5451070e-19   3.7725537e-19   1.5090229e-19
   4.6239400e+00   7.5709858e-19   3.7854931e-19   1.5141986e-19
   4.6282100e+00   7.6006934e-19   3.8003469e-19   1.5201401e-19
   4.6324900e+00   7.6342512e-19   3.8171258e-19   1.5268517e-19
   4.6367600e+00   7.6716550e-19   3.8358277e-19   1.5343324e-19
   4.6410500e+00   7.7100235e-19   3.8550119e-19   1.5420061e-19
   4.6453300e+00   7.7484322e-19   3.8742162e-19   1.5496878e-19
   4.6496300e+00   7.7868933e-19   3.8934468e-19   1.5573800e-19
   4.6539200e+00   7.8253725e-19   3.9126864e-19   1.5650759e-19
